timestamp,value,hours,daylight,DayOfTheWeek,WeekDay,time_epoch,categories,anomaly
2013-07-04 00:00:00,21.04490841111111,0,0,3,1,13728960,2,0
2013-07-04 01:00:00,21.789015033333335,1,0,3,1,13728996,2,0
2013-07-04 02:00:00,21.598780533333336,2,0,3,1,13729032,2,0
2013-07-04 03:00:00,20.532999966666665,3,0,3,1,13729068,2,0
2013-07-04 04:00:00,20.7130839,4,0,3,1,13729104,2,0
2013-07-04 05:00:00,21.144981005555554,5,0,3,1,13729140,2,0
2013-07-04 06:00:00,20.71098043888889,6,0,3,1,13729176,2,0
2013-07-04 07:00:00,20.760893588888887,7,1,3,1,13729212,3,0
2013-07-04 08:00:00,20.648174411111107,8,1,3,1,13729248,3,0
2013-07-04 09:00:00,20.547823649999998,9,1,3,1,13729284,3,0
2013-07-04 10:00:00,21.091701244444444,10,1,3,1,13729320,3,0
2013-07-04 11:00:00,21.42010814444445,11,1,3,1,13729356,3,0
2013-07-04 12:00:00,21.28194728333333,12,1,3,1,13729392,3,0
2013-07-04 13:00:00,21.247917861111112,13,1,3,1,13729428,3,0
2013-07-04 14:00:00,21.030504661111113,14,1,3,1,13729464,3,0
2013-07-04 15:00:00,22.02405065555556,15,1,3,1,13729500,3,0
2013-07-04 16:00:00,21.803144122222218,16,1,3,1,13729536,3,0
2013-07-04 17:00:00,21.525055422222223,17,1,3,1,13729572,3,0
2013-07-04 18:00:00,21.87405460555555,18,1,3,1,13729608,3,0
2013-07-04 19:00:00,22.1087505,19,1,3,1,13729644,3,0
2013-07-04 20:00:00,22.273114499999988,20,1,3,1,13729680,3,0
2013-07-04 21:00:00,21.97393117777778,21,1,3,1,13729716,3,0
2013-07-04 22:00:00,22.326497472222226,22,1,3,1,13729752,3,0
2013-07-04 23:00:00,21.472198577777775,23,0,3,1,13729788,2,0
2013-07-05 00:00:00,21.857078950000002,0,0,4,1,13729824,2,0
2013-07-05 01:00:00,21.992626722222226,1,0,4,1,13729860,2,0
2013-07-05 02:00:00,21.65388953333333,2,0,4,1,13729896,2,0
2013-07-05 03:00:00,21.246601161111112,3,0,4,1,13729932,2,0
2013-07-05 04:00:00,21.351570150000004,4,0,4,1,13729968,2,0
